outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1170300785,2338,1,14,assessment,2,0,1.8,0,2,1.0,147.0,-0.63
True,1172797881,2497096,1,14,assessment,3,0,2.44,0,3,1.0,1242.5,-0.63
True,1170300808,2504,1,15,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172797817,2499507,1,16,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170299773,1456,1,17,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172797901,2498128,1,17,assessment,2,0,1.8,0,2,1.0,1456.0,-0.63
True,1170298466,145,1,18,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300798,2332,1,18,assessment,2,0,1.8,0,2,1.0,145.0,-0.63
True,1172797871,2497073,1,18,assessment,3,0,2.44,0,3,1.0,1238.5,-0.63
True,1170298473,149,1,19,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300821,2348,1,19,assessment,2,0,1.8,0,2,1.0,149.0,-0.63
True,1172797892,2497071,1,19,assessment,3,0,2.44,0,3,1.0,1248.5,-0.63
True,1170300840,2513,1,20,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298346,10,1,21,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298783,437,1,21,assessment,1,1,1.0,1,1,0.5,10.0,-0.63
True,1170298872,89,1,21,assessment,2,1,1.8,1,2,0.666666666667,223.5,-0.63
True,1170298957,85,1,21,assessment,3,1,2.44,1,3,0.75,178.666666667,-0.63
True,1170299031,74,1,21,assessment,4,1,2.952,1,4,0.8,155.25,-0.63
True,1170300067,1036,1,21,assessment,5,1,3.3616,1,5,0.833333333333,139.0,-0.63
True,1170300247,180,1,21,assessment,6,1,3.68928,1,6,0.857142857143,288.5,-0.63
True,1170300385,138,1,21,assessment,7,1,3.951424,1,7,0.875,273.0,-0.63
True,1170300491,106,1,21,assessment,8,1,4.1611392,1,8,0.888888888889,256.125,-0.63
True,1170300663,172,1,21,assessment,9,1,4.32891136,1,9,0.9,239.444444444,-0.63
True,1170300921,258,1,21,assessment,10,1,4.463129088,1,10,0.909090909091,232.7,-0.63
True,1172797648,2496727,1,21,assessment,11,1,4.5705032704,1,11,0.916666666667,235.0,-0.63
True,1170299776,1437,1,22,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172797898,2498122,1,22,assessment,2,0,1.8,0,2,1.0,1437.0,-0.63
True,1170298490,147,1,23,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300831,2341,1,23,assessment,2,0,1.8,0,2,1.0,147.0,-0.63
True,1172797886,2497055,1,23,assessment,3,0,2.44,0,3,1.0,1244.0,-0.63
True,1170300863,2514,1,24,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298522,145,1,27,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300851,2329,1,27,assessment,2,0,1.8,0,2,1.0,145.0,-0.63
False,1172797868,2497017,1,27,assessment,3,0,2.44,0,3,1.0,1237.0,-0.63
True,1170298405,20,1,28,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298827,422,1,28,assessment,1,1,1.0,1,1,0.5,20.0,-0.63
True,1170298935,108,1,28,assessment,2,1,1.8,1,2,0.666666666667,221.0,-0.63
True,1170298988,53,1,28,assessment,3,1,2.44,1,3,0.75,183.333333333,-0.63
True,1170299054,66,1,28,assessment,4,1,2.952,1,4,0.8,150.75,-0.63
True,1170300193,1139,1,28,assessment,5,1,3.3616,1,5,0.833333333333,133.8,-0.63
True,1170300364,171,1,28,assessment,6,1,3.68928,1,6,0.857142857143,301.333333333,-0.63
True,1170300496,132,1,28,assessment,7,1,3.951424,1,7,0.875,282.714285714,-0.63
True,1170300675,179,1,28,assessment,8,1,4.1611392,1,8,0.888888888889,263.875,-0.63
True,1170300938,263,1,28,assessment,9,1,4.32891136,1,9,0.9,254.444444444,-0.63
True,1172797678,2496740,1,28,assessment,10,1,4.463129088,1,10,0.909090909091,255.3,-0.63
True,1170298540,146,1,29,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1170300883,2343,1,29,assessment,2,0,1.8,0,2,1.0,146.0,-0.63
True,1172797876,2496993,1,29,assessment,2,1,1.44,1,2,0.666666666667,1244.5,-0.63
True,1170299850,1449,1,30,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172797917,2498067,1,30,assessment,2,0,1.8,0,2,1.0,1449.0,-0.63
True,1170298427,13,1,31,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298749,322,1,31,assessment,1,1,1.0,1,1,0.5,13.0,-0.63
True,1170298953,204,1,31,assessment,2,1,1.8,1,2,0.666666666667,167.5,-0.63
True,1170299019,66,1,31,assessment,3,1,2.44,1,3,0.75,179.666666667,-0.63
True,1170299050,31,1,31,assessment,4,1,2.952,1,4,0.8,151.25,-0.63
True,1170300076,1026,1,31,assessment,5,1,3.3616,1,5,0.833333333333,127.2,-0.63
True,1170300221,145,1,31,assessment,6,1,3.68928,1,6,0.857142857143,277.0,-0.63
True,1170300323,102,1,31,assessment,7,1,3.951424,1,7,0.875,258.142857143,-0.63
True,1170300422,99,1,31,assessment,8,1,4.1611392,1,8,0.888888888889,238.625,-0.63
True,1170300607,185,1,31,assessment,9,1,4.32891136,1,9,0.9,223.111111111,-0.63
True,1170300669,62,1,31,assessment,10,1,4.463129088,1,10,0.909090909091,219.3,-0.63
True,1170300865,196,1,31,assessment,11,1,4.5705032704,1,11,0.916666666667,205.0,-0.63
False,1172797660,2496795,1,31,assessment,12,1,4.65640261632,1,12,0.923076923077,204.25,-0.63
True,1170300942,2523,1,32,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298584,149,1,33,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300204,1620,1,33,assessment,2,0,1.8,0,2,1.0,149.0,-0.63
True,1170300688,484,1,33,assessment,3,0,2.44,0,3,1.0,884.5,-0.63
False,1172797956,2497268,1,33,assessment,4,0,2.952,0,4,1.0,751.0,-0.63
True,1170298588,149,1,34,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300929,2341,1,34,assessment,2,0,1.8,0,2,1.0,149.0,-0.63
True,1172797896,2496967,1,34,assessment,3,0,2.44,0,3,1.0,1245.0,-0.63
True,1170298469,11,1,36,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298772,303,1,36,assessment,1,1,1.0,1,1,0.5,11.0,-0.63
True,1170298928,156,1,36,assessment,2,1,1.8,1,2,0.666666666667,157.0,-0.63
False,1170299000,72,1,36,assessment,3,1,2.44,1,3,0.75,156.666666667,-0.63
True,1170299022,22,1,36,assessment,3,2,1.952,1,3,0.6,135.5,-0.63
True,1170299100,78,1,36,assessment,4,2,2.5616,1,3,0.666666666667,112.8,-0.63
True,1170300040,940,1,36,assessment,5,2,3.04928,1,3,0.714285714286,107.0,-0.63
True,1170300326,286,1,36,assessment,6,2,3.439424,1,3,0.75,226.0,-0.63
True,1170300487,161,1,36,assessment,7,2,3.7515392,1,4,0.777777777778,233.5,-0.63
True,1170300652,165,1,36,assessment,8,2,4.00123136,1,5,0.8,225.444444444,-0.63
True,1170300854,202,1,36,assessment,9,2,4.200985088,1,6,0.818181818182,219.4,-0.63
True,1172797644,2496790,1,36,assessment,10,2,4.3607880704,1,7,0.833333333333,217.818181818,-0.63
True,1170298658,194,1,37,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171623739,1325081,1,37,assessment,2,0,1.8,0,2,1.0,194.0,-0.63
True,1170298500,14,1,38,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298731,231,1,38,assessment,1,1,1.0,1,1,0.5,14.0,-0.63
True,1170298775,44,1,38,assessment,2,1,1.8,1,2,0.666666666667,122.5,-0.63
