outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1172040122,14,1,25,assessment,4,0,2.952,0,4,1.0,14.0,-0.63
False,1172040074,6,1,26,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172040082,8,1,26,assessment,1,1,0.8,1,1,0.5,6.0,-0.63
True,1172040091,9,1,26,assessment,2,1,1.64,1,1,0.666666666667,7.0,-0.63
True,1172040101,10,1,26,assessment,3,1,2.312,1,2,0.75,7.66666666667,-0.63
True,1172040112,11,1,26,assessment,4,1,2.8496,1,3,0.8,8.25,-0.63
False,1172040128,16,1,26,assessment,5,1,3.27968,1,4,0.833333333333,8.8,-0.63
True,1172040084,13,1,27,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172040097,13,1,27,assessment,2,0,1.8,0,2,1.0,13.0,-0.63
False,1172040110,13,1,27,assessment,3,0,2.44,0,3,1.0,13.0,-0.63
True,1172040119,9,1,27,assessment,3,1,1.952,1,3,0.75,13.0,-0.63
True,1172040086,5,1,28,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172040098,12,1,28,assessment,2,0,1.8,0,2,1.0,5.0,-0.63
False,1172040117,19,1,28,assessment,3,0,2.44,0,3,1.0,8.5,-0.63
True,1172040125,8,1,28,assessment,3,1,1.952,1,3,0.75,12.0,-0.63
False,1171289018,9,2,27,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289023,5,2,27,assessment,1,1,0.8,1,1,0.5,9.0,-0.63
True,1171289050,27,2,27,assessment,2,1,1.64,1,1,0.666666666667,7.0,-0.63
True,1171289068,18,2,27,assessment,3,1,2.312,1,2,0.75,13.6666666667,-0.63
False,1171289087,19,2,27,assessment,4,1,2.8496,1,3,0.8,14.75,-0.63
True,1171289094,7,2,27,assessment,4,2,2.27968,1,3,0.666666666667,15.6,-0.63
True,1171289109,15,2,27,assessment,5,2,2.823744,1,3,0.714285714286,14.1666666667,-0.63
True,1171289125,16,2,27,assessment,6,2,3.2589952,1,3,0.75,14.2857142857,-0.63
True,1171289144,19,2,27,assessment,7,2,3.60719616,1,3,0.777777777778,14.5,-0.63
True,1171289160,16,2,27,assessment,8,2,3.885756928,1,4,0.8,15.0,-0.63
True,1171289020,8,2,18,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289053,33,2,18,assessment,2,0,1.8,0,2,1.0,8.0,-0.63
True,1171289072,19,2,18,assessment,3,0,2.44,0,3,1.0,20.5,-0.63
True,1171289090,18,2,18,assessment,4,0,2.952,0,4,1.0,20.0,-0.63
True,1171289118,28,2,18,assessment,5,0,3.3616,0,5,1.0,19.5,-0.63
True,1171289149,31,2,18,assessment,6,0,3.68928,0,6,1.0,21.2,-0.63
False,1171289022,7,2,25,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171289025,3,2,25,assessment,1,1,0.8,1,1,0.5,7.0,-0.63
False,1171289046,21,2,25,assessment,2,1,1.64,1,1,0.666666666667,5.0,-0.63
True,1171289051,5,2,25,assessment,2,2,1.312,1,1,0.5,10.3333333333,-0.63
False,1171289060,9,2,25,assessment,3,2,2.0496,1,1,0.6,9.0,-0.63
True,1171289066,6,2,25,assessment,3,3,1.63968,1,1,0.5,9.0,-0.63
False,1171289075,9,2,25,assessment,4,3,2.311744,1,1,0.571428571429,8.5,-0.63
True,1171289078,3,2,25,assessment,4,4,1.8493952,1,1,0.5,8.57142857143,-0.63
True,1171289085,7,2,25,assessment,5,4,2.47951616,1,1,0.555555555556,7.875,-0.63
True,1171289092,7,2,25,assessment,6,4,2.983612928,1,2,0.6,7.77777777778,-0.63
