Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
33	Control	1_1	Unit 12	Occupation	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Occupation	1	0.6229	Single-KC	33	0.5236	KC13	1	0.6229
34	Control	1_1	Unit 12	Occupation	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Occupation	2	0.6229	Single-KC	34	0.5236	KC13	2	0.6229
35	Control	1_1	Unit 12	Hydrolytic_power	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Hydrolytic_power	1	0.6087	Single-KC	35	0.5236	KC25	1	0.6087
36	Control	1_1	Unit 12	Hydrolytic_power	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Hydrolytic_power	2	0.6087	Single-KC	36	0.5236	KC25	2	0.6087
37	Control	1_1	Unit 12	Bullying	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Bullying	1	0.3614	Single-KC	37	0.5236	KC45	1	0.3615
38	Control	1_1	Unit 12	Bullying	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Bullying	2	0.3614	Single-KC	38	0.5236	KC45	2	0.3615
39	Control	1_1	Unit 12	To_associate_with	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	To_associate_with	1	0.6766	Single-KC	39	0.5236	KC58	1	0.6766
40	Control	1_1	Unit 12	To_associate_with	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_associate_with	2	0.6766	Single-KC	40	0.5236	KC58	2	0.6766
41	Control	1_1	Unit 12	Generation_of_electricity	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Generation_of_electricity	1	0.6338	Single-KC	41	0.5236	KC7	1	0.6338
42	Control	1_1	Unit 12	Generation_of_electricity	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Generation_of_electricity	2	0.6338	Single-KC	42	0.5236	KC7	2	0.6338
